round,client_id,prototype_distance
0,2,2.641099691390991
0,3,2.5375289916992188
0,4,2.336174488067627
0,12,2.0997989177703857
0,14,2.612828254699707
0,13,2.5005972385406494
1,3,2.3133230209350586
1,2,2.998765468597412
1,1,4.130495548248291
1,9,3.703575849533081
1,15,6.46204137802124
1,13,5.100522994995117
2,3,2.023491621017456
2,2,1.7863119840621948
2,4,1.7767136096954346
2,8,3.1901509761810303
2,6,3.956105947494507
2,16,5.555568218231201
