round,elapsed_sec,cum_time_sec,avg_val_acc,method
0,118.28120803833008,118.28120803833008,0.14249188311688313,Pow-d
1,118.2776517868042,236.55885982513428,0.18798701298701298,Pow-d
2,119.97479605674744,356.5336558818817,0.3502536525974026,Pow-d
